G,OPS,wOBA,wRC+,고4,도루,도실,득점,루타,병살,볼넷,사구,삼진,안타,연도,연봉_만원,장타,출루,타석,타수,타율,타점,홈런,희비,희타
144,0.745,0.344,90.5,1,6,6,96,207,14,49,14,58,154,16,20000,28,0.36,609,538,0.286,81,7,2,6
78,0.845,0.388,131.7,2,1,1,29,117,5,44,7,72,65,13,15000,18,0.38,305,252,0.258,42,11,2,0
103,0.922,0.406,137.0,1,0,0,31,97,5,50,7,58,54,18,9000,12,0.432,257,198,0.273,39,10,2,0
97,0.782,0.352,96.1,0,2,1,39,127,10,34,7,53,90,14,40000,21,0.368,361,307,0.293,39,5,8,5
83,0.884,0.396,127.9,0,8,6,54,134,7,21,1,47,105,14,4000,15,0.414,314,285,0.368,28,4,0,7
80,0.755,0.343,105.0,1,9,4,37,119,3,20,2,56,79,11,20000,15,0.331,310,281,0.281,33,8,2,5
133,0.771,0.343,94.9,1,1,2,55,184,12,46,0,85,123,15,6500,21,0.346,491,433,0.284,77,13,9,3
90,0.797,0.37,112.1,0,9,2,47,108,4,37,8,61,87,14,7500,14,0.407,330,277,0.314,27,2,2,6
70,0.838,0.386,134.6,2,1,1,36,111,7,39,0,61,68,11,40000,15,0.379,282,242,0.281,37,9,1,0
123,0.675,0.314,92.6,0,11,10,49,151,7,29,4,72,116,12,19000,20,0.322,474,427,0.272,31,5,3,11
131,0.9,0.377,114.2,3,9,7,76,268,9,35,5,143,143,18,25000,22,0.347,528,485,0.295,102,34,2,1
131,0.891,0.386,125.7,7,0,2,48,229,16,61,3,102,132,15,75000,25,0.381,518,449,0.294,110,24,2,3
139,0.799,0.347,98.4,2,1,5,55,188,12,33,11,95,125,18,9000,29,0.357,479,425,0.294,71,11,5,5
134,0.847,0.369,113.2,4,4,5,71,234,21,50,8,115,133,15,20000,20,0.354,539,475,0.28,88,27,6,0
82,0.793,0.356,109.5,0,1,0,26,87,7,20,4,47,58,13,13000,11,0.36,236,201,0.289,26,6,3,8
101,0.725,0.347,103.5,0,5,4,45,89,7,47,6,40,68,13,11000,17,0.383,322,260,0.262,25,0,3,6
66,0.981,0.414,158.4,2,0,0,33,107,5,28,2,49,52,15,9500,12,0.387,213,180,0.289,36,14,2,1
118,0.709,0.332,95.7,1,3,4,56,161,20,31,6,32,120,21,48000,25,0.335,472,430,0.279,53,5,2,3
134,0.711,0.331,88.6,0,30,11,82,163,8,59,12,62,144,18,40000,15,0.379,575,491,0.293,36,1,5,8
133,0.758,0.342,97.8,0,41,10,90,167,11,44,4,65,125,15,17500,23,0.364,486,424,0.295,36,4,3,10
126,0.718,0.342,101.0,0,5,1,71,115,4,62,19,120,85,20,4500,14,0.386,439,346,0.246,29,5,3,9
75,0.746,0.351,106.3,0,14,4,35,82,7,27,9,14,68,13,4100,10,0.387,276,228,0.298,25,1,5,7
123,0.811,0.357,104.2,2,16,4,70,197,11,22,3,92,133,17,12000,32,0.349,453,426,0.312,54,8,2,0
133,0.806,0.359,105.6,2,0,2,52,194,10,45,2,59,136,17,60000,19,0.37,497,445,0.306,68,13,3,2
114,0.685,0.323,90.7,0,12,5,52,139,10,44,5,75,100,21,60000,17,0.333,452,395,0.253,47,7,4,4
105,0.8,0.369,104.7,0,19,7,62,127,6,35,0,64,98,16,6000,22,0.388,347,308,0.318,20,1,0,4
124,0.83,0.364,113.0,1,3,3,66,209,9,46,4,119,123,15,40000,23,0.353,494,438,0.281,70,21,2,4
122,0.713,0.327,91.6,0,5,3,46,127,7,35,12,44,96,20,23200,20,0.352,415,352,0.273,49,3,7,9
134,0.749,0.35,102.6,0,12,7,80,176,6,49,4,78,146,20,24000,21,0.376,534,472,0.309,45,2,4,5
128,0.765,0.338,93.4,3,1,0,46,171,6,40,6,80,117,18,35000,24,0.351,465,413,0.283,45,10,5,1
